ID,GlobalID,X,Y,Biogeoclimatic_Unit,Subzone,Site_Physiog,Site_Realm,Site_Group,Site_Class,Site_Association,Ignore,Site.Serie,Site_Series_Map_Unit,Site_Var_Phase_Map_Unit,F_Site_Series_NF_Class,Site_Group_2,Site_Series_Map_Unit_2,Site_Class_2,Transition,Structural_Stage_Modifier,Site_Modifier,Soil_Moisture_Regime,Soil_Nutrient_Regime,Site_Disturbance__s_,Comment__max_255_characters,Date,General_Location,Random_Point_ID,Non_GNSS_point,Accuracy__m_,Crew,Experience,Certainty,Air_Interp,StudyArea,Canyon_Cr,MAP_LABEL
6,Air_661,951531.0882,1078058.726,ESSFmc,ESSFmc,Nfor,Terrestrial,A,Ag,NA,,Ag,NA,NA,Ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,CanyonCreek,Yes,ESSFmcw
3,Air_514,951625.2944,1086002.605,ESSFmc,ESSFmc,Nfor,Terrestrial,A,Ag,NA,,Ag,NA,NA,Ag,X,NA,Xvh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Yes,CanyonCreek,Yes,ESSFmc
5,Air_523,952033.9634,1085527.985,ESSFmc,ESSFmc,Nfor,Terrestrial,A,Ag,NA,,Ag,NA,NA,Ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,CanyonCreek,Yes,ESSFmc
4,Air_519,952078.8239,1085803.435,ESSFmc,ESSFmc,Nfor,Terrestrial,A,Ag,NA,,Ag,NA,NA,Ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,CanyonCreek,Yes,ESSFmc
8,Air_705,952380.2499,1077614.57,ESSFmc,ESSFmc,Nfor,Terrestrial,A,Ag,NA,,Ag,NA,NA,Ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,CanyonCreek,Yes,ESSFmcw
9,Air_848,952417.0394,1076307.561,ESSFmc,ESSFmc,Nfor,Terrestrial,A,Ag,NA,,Ag,NA,NA,Ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,CanyonCreek,Yes,ESSFmcw
7,Air_671,952515.243,1076400.928,ESSFmc,ESSFmc,Nfor,Terrestrial,A,Ag,NA,,Ag,NA,NA,Ag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,CanyonCreek,Yes,ESSFmcw
1,55b67b82-fe10-4ba3-9a5f-d38e6a54226d,956675.1188,1085086.412,ESSFmc,ESSFmc,Nfor,Terrestrial,NV,ES,,Y,ES,ES,ES,,Fo,,NA,1,Null,,unknown,unknown,Ts,,11/07/2018 19:57,Deception Woodland and essf drop,NA,,10,EBL,1,1,NA,Deception,NA,ESSFmc
1941,f0195518-630a-41c3-9b04-764184a5d0bd,948844.7393,1083903.06,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,Y,ESSFmc/09,ESSFmc_09,ESSFmc_09,ESSFmc_09,Fo,ESSFmc_10,NA,3,Null,,6,,,,06/12/2018 18:55,Canyon Creek A road,NA,,10,WHM,1,3,NA,CanyonCreek,NA,SBSmc2
667,77bf7ccb-d3e1-48c8-bd53-901ba3d0620c,948973.5353,1083872.666,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,Y,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,,,NA,1,Null,,,,,,06/12/2018 18:46,Canyon Creek A road,NA,,10,WHM,1,2,NA,CanyonCreek,NA,SBSmc2
2107,1cd21ae1-ed25-43f5-a1db-9101fcd9d953,949044.3627,1084909.569,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,Y,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,F,Fl,NA,7,Null,,,,,Alnuvir patches with lots of equiarv ,06/12/2018 17:43,Canyon Creek A road,NA,,10,WHM,1,2,NA,CanyonCreek,NA,SBSmc2
666,fbe4ad21-679d-44eb-83c2-285213ac1740,949064.699,1084922.51,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,Y,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,,,NA,1,Null,,,,,,06/12/2018 17:41,Canyon Creek A road,NA,,10,WHM,1,2,NA,CanyonCreek,NA,SBSmc2
668,bc5e9111-cd26-46f7-889b-85047b2b8360,949303.8728,1082277.135,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,Y,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,Fo,,NA,1,Null,,6,D,,Mapped as SBSmc2. Better as ESSFmc. Leave strip in new CC,6/13/2018 4:21:00 PM,Canyon Creek FSR,NA,,10,WHM,1,2,NA,CanyonCreek,NA,SBSmc2
690,d8d2b9cb-7b79-4ab0-a580-9cdddf6478c5,951315.499,1079239.435,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,,ESSFmc/09,ESSFmc_09,ESSFmc_09,ESSFmc_09,,,NA,1,Null,,7,,,,7/17/2018 9:33:00 PM,Deception trail,NA,N,10,WHM,1,2,NA,CanyonCreek,NA,ESSFmc
778,a228a8cf-b583-442f-afb4-c3f375242de6,951379.3485,1079268.879,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,W,ESSFmc_Wf04,NA,3,Null,,7,,,Lots of calacan,7/17/2018 9:26:00 PM,Deception trail,NA,N,10,WHM,1,3,NA,CanyonCreek,NA,ESSFmc
768,441f41aa-bb78-46c9-aee7-cc74ce5f8bbc,951441.3834,1080284.572,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,,,NA,1,Null,,6,,,,7/17/2018 8:22:00 PM,Deception trail,NA,N,10,WHM,1,2,NA,CanyonCreek,NA,ESSFmc
694,fd41f0ba-5e39-4b49-a4db-35e9d8577336,951484.4951,1080235.979,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,,ESSFmc/09,ESSFmc_09,ESSFmc_09,ESSFmc_09,,,NA,1,Null,,6,,,,7/17/2018 8:28:00 PM,Deception trail,NA,N,10,WHM,1,2,NA,CanyonCreek,NA,ESSFmc
766,feb054e5-be73-4160-803a-ac2d3cdf4af6,951569.913,1079355.21,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,,,NA,1,Null,,6,,,,7/17/2018 9:14:00 PM,Deception trail,NA,N,10,WHM,1,2,NA,CanyonCreek,NA,ESSFmc
767,c7562ea1-5175-48f6-8889-533d57118123,951617.3774,1079725.205,ESSFmc,ESSFmc,Forest,Terrestrial,Fo,FoD,,,ESSFmc/10,ESSFmc_10,ESSFmc_10,ESSFmc_10,,,NA,1,Null,,6,,,,7/17/2018 8:53:00 PM,Deception trail,NA,N,10,WHM,1,2,NA,CanyonCreek,NA,ESSFmc
