Num,KS,fillQual,SType
5,1.04410522474835,211,LHS
5,0.950862202674891,213,LHS
5,0.822024472003152,191,LHS
5,0.962197615074364,220,LHS
5,0.940937058786324,207,LHS
5,0.78188149323006,186,LHS
5,0.967571394514963,205,LHS
5,1.0956538306226,211,LHS
5,0.834127322529325,215,LHS
5,1.05068726920663,202,LHS
5,0.815305968152339,206,LHS
5,0.721443060022088,199,LHS
5,2.04116091680005,236,LHS
5,1.16055874010538,205,LHS
5,0.956461864056321,213,LHS
5,1.16775465722167,239,LHS
5,0.930224256960897,198,LHS
5,0.962938294549507,224,LHS
5,1.0869122364881,227,LHS
5,1.13404093587168,211,LHS
5,1.27438907079366,208,LHS
5,0.893827469945169,217,LHS
5,1.17317644654838,222,LHS
5,1.27126764976331,211,LHS
5,0.875690553222959,205,LHS
5,0.841441172320852,186,LHS
5,0.869625758364511,214,LHS
5,0.780498528274165,196,LHS
5,1.04185045319425,208,LHS
5,0.937331919179143,212,LHS
9,0.555846689684513,79,LHS
9,0.847795633096182,81,LHS
9,0.600075551295794,75,LHS
9,0.742096278168886,94,LHS
9,0.681617844290596,87,LHS
9,0.585873886204916,90,LHS
9,0.618129283749282,84,LHS
9,0.749340888462912,90,LHS
9,0.897382960631267,91,LHS
9,0.828118077550356,81,LHS
9,0.626819845080922,87,LHS
9,0.559816278882451,86,LHS
9,0.575126930609681,90,LHS
9,0.726066764727664,92,LHS
9,0.772897886282759,85,LHS
9,1.40202657593592,134,LHS
9,0.857463052789144,91,LHS
9,0.752612136318842,82,LHS
9,0.865884189637212,108,LHS
9,0.650776168474633,98,LHS
9,0.840083984325376,95,LHS
9,0.622864808264801,92,LHS
9,0.58737202472175,81,LHS
9,0.770936785253442,101,LHS
9,0.633919082918844,111,LHS
9,0.839183628678572,78,LHS
9,0.669490499056961,88,LHS
9,0.740388103157575,91,LHS
9,0.815967973948425,102,LHS
9,0.511940434701052,95,LHS
13,0.522922703424695,55,LHS
13,0.506504537930483,59,LHS
13,0.616955494187386,45,LHS
13,0.607381832484854,35,LHS
13,0.63425059495897,51,LHS
13,0.455578175868337,40,LHS
13,0.518045548090161,37,LHS
13,0.849285611367824,42,LHS
13,0.495548056479841,29,LHS
13,0.759560200042439,54,LHS
13,0.628384290164081,39,LHS
13,0.480964164738983,34,LHS
13,0.628259007280224,37,LHS
13,0.621092374233402,40,LHS
13,0.517601451778478,35,LHS
13,0.443478931585051,41,LHS
13,0.576036216618582,41,LHS
13,1.00393513104067,66,LHS
13,0.717008330361189,41,LHS
13,0.685988982920495,44,LHS
13,0.465682325031165,36,LHS
13,0.72459573665445,46,LHS
13,0.825071756224569,51,LHS
13,0.447826235678975,48,LHS
13,0.688247817298664,52,LHS
13,0.688943130567624,48,LHS
13,0.65426666511978,51,LHS
13,0.7911439417103,50,LHS
13,0.816350868421162,50,LHS
13,0.74463996515013,52,LHS
17,0.567849849335913,27,LHS
17,0.385001435236765,20,LHS
17,0.658890394559894,32,LHS
17,0.52936292372754,21,LHS
17,0.475359757907182,23,LHS
17,0.43841707264931,26,LHS
17,0.501075766477963,10,LHS
17,0.629394232780807,19,LHS
17,0.455581371056068,21,LHS
17,0.555121065011503,34,LHS
17,0.419854266946025,24,LHS
17,0.499395592177545,30,LHS
17,0.660851039595077,25,LHS
17,0.602709217597061,29,LHS
17,0.680017652124366,38,LHS
17,0.478604720912988,24,LHS
17,0.525067361685676,23,LHS
17,0.514761159717097,15,LHS
17,0.618667590865656,40,LHS
17,0.584341037440075,22,LHS
17,0.480386744078826,22,LHS
17,0.681238218680859,21,LHS
17,0.449245134146701,26,LHS
17,0.431589924666526,24,LHS
17,0.646993709856657,11,LHS
17,0.587668668938815,24,LHS
17,0.474971067744607,19,LHS
17,0.364934530022205,13,LHS
17,0.576104106322569,32,LHS
17,0.514584615578343,16,LHS
21,0.571955181691244,12,LHS
21,0.387035676580342,14,LHS
21,0.526626998992902,16,LHS
21,0.770203771185959,11,LHS
21,0.552629824057812,8,LHS
21,0.54979703968227,17,LHS
21,0.383681341759876,18,LHS
21,0.443001542271372,9,LHS
21,0.410918827225063,7,LHS
21,0.531005168474092,10,LHS
21,0.630695578984242,24,LHS
21,0.610436198455134,13,LHS
21,0.40464212330711,9,LHS
21,0.412304892941068,13,LHS
21,0.508271342457222,17,LHS
21,0.491401747907555,10,LHS
21,0.371704688277926,14,LHS
21,0.409414017965596,18,LHS
21,0.654030907053419,28,LHS
21,0.499981155422357,11,LHS
21,0.441637759214301,14,LHS
21,0.488176503309153,10,LHS
21,0.477023367600624,12,LHS
21,0.603715819876975,10,LHS
21,0.621395277179087,10,LHS
21,0.543652020764713,16,LHS
21,0.48705043438211,9,LHS
21,0.614737367889293,13,LHS
21,0.465982423620268,18,LHS
21,0.616949773200156,19,LHS
25,0.440566018458604,6,LHS
25,0.492306301905703,8,LHS
25,0.414287278937049,11,LHS
25,0.276175054125454,8,LHS
25,0.476968013194448,5,LHS
25,0.48066674775349,8,LHS
25,0.484739321108685,10,LHS
25,0.44505079959716,7,LHS
25,0.610941587323211,26,LHS
25,0.355755089252267,10,LHS
25,0.446406756802779,7,LHS
25,0.383421285291013,16,LHS
25,0.663115504935754,6,LHS
25,0.471283490885031,10,LHS
25,0.500275398095757,8,LHS
25,0.466338889078091,11,LHS
25,0.423954298169222,7,LHS
25,0.40498604949864,4,LHS
25,0.349554029609664,10,LHS
25,0.377445033351011,9,LHS
25,0.45304953853489,8,LHS
25,0.536672477024048,5,LHS
25,0.6111637016459,14,LHS
25,0.504469161870381,11,LHS
25,0.535248912868965,6,LHS
25,0.377251211193873,10,LHS
25,0.469759847427033,5,LHS
25,0.309326641400013,10,LHS
25,0.504778931697325,6,LHS
25,0.539903692207394,12,LHS
29,0.331008073060011,16,LHS
29,0.431094831486763,10,LHS
29,0.342257286028511,9,LHS
29,0.334739101469645,5,LHS
29,0.434259207282916,5,LHS
29,0.421342183764327,16,LHS
29,0.348306922236674,5,LHS
29,0.401942419743758,10,LHS
29,0.526097986323393,6,LHS
29,0.343384776491443,6,LHS
29,0.518518409532858,5,LHS
29,0.538960267848231,6,LHS
29,0.445779727813345,2,LHS
29,0.421128104485908,5,LHS
29,0.427893775367244,3,LHS
29,0.334868834794098,12,LHS
29,0.481585769698771,7,LHS
29,0.393601135707634,4,LHS
29,0.513809708911168,5,LHS
29,0.358611150489482,3,LHS
29,0.492187406522971,4,LHS
29,0.394496907991677,8,LHS
29,0.614682057728561,4,LHS
29,0.426908453032863,7,LHS
29,0.375426830690211,9,LHS
29,0.393019511670547,13,LHS
29,0.478571544329859,5,LHS
29,0.502818341973554,5,LHS
29,0.440557918723825,7,LHS
29,0.541164570068997,5,LHS
33,0.39203044795457,7,LHS
33,0.364565609781017,5,LHS
33,0.285069987511155,6,LHS
33,0.373251954597866,6,LHS
33,0.458083791584456,6,LHS
33,0.542303956756839,6,LHS
33,0.263006236461265,9,LHS
33,0.342098724533762,4,LHS
33,0.371542865516915,5,LHS
33,0.470177926604042,4,LHS
33,0.369227792493808,6,LHS
33,0.438986155235857,5,LHS
33,0.524139172705055,4,LHS
33,0.467254442931315,12,LHS
33,0.503321658305141,3,LHS
33,0.356255646407198,9,LHS
33,0.492763826667038,5,LHS
33,0.443263376045448,3,LHS
33,0.554818602142786,5,LHS
33,0.357230463346324,8,LHS
33,0.410256212245791,5,LHS
33,0.483271018847084,4,LHS
33,0.430864086248073,5,LHS
33,0.362439124067704,5,LHS
33,0.365474702164414,7,LHS
33,0.333110598150955,4,LHS
33,0.485604771325576,2,LHS
33,0.526786663370119,4,LHS
33,0.45014349566473,2,LHS
33,0.386660589577867,6,LHS
37,0.387895348557407,6,LHS
37,0.305016264920907,4,LHS
37,0.491859881444052,3,LHS
37,0.45643708883228,4,LHS
37,0.290828614847278,3,LHS
37,0.38650894008521,7,LHS
37,0.289792409405528,3,LHS
37,0.365191467685083,6,LHS
37,0.384256148276855,3,LHS
37,0.419198999818146,12,LHS
37,0.338915794665547,6,LHS
37,0.322012510951652,2,LHS
37,0.2954055092842,3,LHS
37,0.401120420901097,3,LHS
37,0.273411691255917,3,LHS
